resource_id,course_id,resource_title,format,duration_minutes,terminal
R0001,C001,老年基础照护资源1,quiz,15,pc
R0002,C001,老年基础照护资源2,case,5,both
R0003,C001,老年基础照护资源3,document,4,mobile
R0004,C001,老年基础照护资源4,checklist,18,pc
R0005,C001,老年基础照护资源5,video,27,mobile
R0006,C002,失智老人沟通与陪伴资源1,quiz,11,mobile
R0007,C002,失智老人沟通与陪伴资源2,case,14,both
R0008,C002,失智老人沟通与陪伴资源3,document,11,pc
R0009,C002,失智老人沟通与陪伴资源4,checklist,21,pc
R0010,C002,失智老人沟通与陪伴资源5,video,38,mobile
R0011,C003,压疮预防与翻身转移资源1,quiz,20,mobile
R0012,C003,压疮预防与翻身转移资源2,case,4,pc
R0013,C003,压疮预防与翻身转移资源3,document,12,pc
R0014,C003,压疮预防与翻身转移资源4,checklist,18,mobile
R0015,C003,压疮预防与翻身转移资源5,video,29,both
R0016,C004,慢病监测与用药提醒资源1,quiz,7,mobile
R0017,C004,慢病监测与用药提醒资源2,case,21,pc
R0018,C004,慢病监测与用药提醒资源3,document,22,pc
R0019,C004,慢病监测与用药提醒资源4,checklist,7,both
R0020,C004,慢病监测与用药提醒资源5,video,6,pc
R0021,C005,跌倒风险识别与应急处理资源1,quiz,14,both
R0022,C005,跌倒风险识别与应急处理资源2,case,9,both
R0023,C005,跌倒风险识别与应急处理资源3,document,14,mobile
R0024,C005,跌倒风险识别与应急处理资源4,checklist,12,both
R0025,C005,跌倒风险识别与应急处理资源5,video,18,pc
R0026,C006,康复训练辅助实操资源1,quiz,5,mobile
R0027,C006,康复训练辅助实操资源2,case,4,pc
R0028,C006,康复训练辅助实操资源3,document,9,both
R0029,C006,康复训练辅助实操资源4,checklist,15,mobile
R0030,C006,康复训练辅助实操资源5,video,21,pc
R0031,C007,感染防控与清洁消毒资源1,quiz,18,both
R0032,C007,感染防控与清洁消毒资源2,case,10,both
R0033,C007,感染防控与清洁消毒资源3,document,10,mobile
R0034,C007,感染防控与清洁消毒资源4,checklist,9,mobile
R0035,C007,感染防控与清洁消毒资源5,video,33,pc
R0036,C008,临终关怀与心理支持资源1,quiz,15,pc
R0037,C008,临终关怀与心理支持资源2,case,20,pc
R0038,C008,临终关怀与心理支持资源3,document,7,mobile
R0039,C008,临终关怀与心理支持资源4,checklist,7,both
R0040,C008,临终关怀与心理支持资源5,video,20,pc
